Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
some_fake_ANY_title_11;The Pruuntish Game;;;;;;;;;;;;;x
some_fake_ANY_11;Rowdy young folk seem to be playing some new game where they whack eachother violently. They call it 'the Pruuntish Game'.;;;;;;;;;;;;;x
some_fake_ANY_title_12;Byotrish Once Ruled?;;;;;;;;;;;;;x
some_fake_ANY_12;A Historian in $OURCAPITAL$ tells a journalist the Byotrish used to rule much of central Ishahfazh. Their sorry state today is far from this.;;;;;;;;;;;;;x
some_fake_ANY_title_13;Child Eaten By Locusts;;;;;;;;;;;;;x
some_fake_ANY_13;A child was recently devoured by a ravenous swarm of locusts. The community is grieving this child who was not brought inside quickly enough.;;;;;;;;;;;;;x
some_fake_ANY_title_14;Thrall sings Beautiful Song;;;;;;;;;;;;;x
some_fake_ANY_14;A thrall was recently heard singing a very beautiful song. Locals moved to tears called it 'the Thrall's lament'.;;;;;;;;;;;;;x
some_fake_ANY_title_4;Boreal Illness;;;;;;;;;;;;;x
some_fake_ANY_4;Two sailors who recently came back from the Boreal Reaches have been suffering from same strange fever. A doctor says it is called 'Boreal Flux' and is caused by extremophile bacteria.;;;;;;;;;;;;;x
some_fake_ANY_title_15;Fish from Chazd;;;;;;;;;;;;;x
some_fake_ANY_15;Consumers say fish from Chazd taste the worst. A man said 'They are always too salty. And I don't care for the people of that land.';;;;;;;;;;;;;x
some_fake_ANY_title_16;Liberationist Conspiracy?;;;;;;;;;;;;;x
some_fake_ANY_16;Police have uncovered what they say is a vast liberationist conspiracy to kill the highest leaders of our state! They say they are going to hang the conspirators and warn people to be vigilant.;;;;;;;;;;;;;x
some_fake_ANY_title_17;Fattest Poumnak in the World;;;;;;;;;;;;;x
some_fake_ANY_17;A circus has come through $OURCAPITAL$ saying they have the fattest Poumnak in the world. He is very rotund, but one may says he saw a fatter one once.;;;;;;;;;;;;;x
some_fake_ANY_title_18;Tragic Suicide;;;;;;;;;;;;;x
some_fake_ANY_18;A prominent aristocrat killed himself in a particularly tragic way. He leaped off a cliff after denouncing the world.;;;;;;;;;;;;;x
some_fake_ANY_title_19;Man lost in Woods;;;;;;;;;;;;;x
some_fake_ANY_19;The police recently found a disoriented man lost in the woods. No one knows where he came from, and he doesn't even know the gods of this land.;;;;;;;;;;;;;x
some_fake_ANY_title_20;The Men of the Barrel;;;;;;;;;;;;;x
some_fake_ANY_20;Consumers furious that the fraternal order of the Men of The Barrel have sold Maggot Wine containing no Maggots! People said they put rice in instead. It tastes AWFUL!;;;;;;;;;;;;;x
some_fake_ANY_title_21;Inventor claims Levitation Around the Corner;;;;;;;;;;;;;x
some_fake_ANY_21;"Soon you will see me levitating at the Market in a fortnite's time". Other inventors Skepical.;;;;;;;;;;;;;x
some_fake_ANY_title_22;Wealthy fool takes out Loan;;;;;;;;;;;;;x
some_fake_ANY_22;A very wealthy heir to a large banking fortune has taken out a large loan. Economic pundits worried about state of loan market. "This could cause great problems" says professor.;;;;;;;;;;;;;x
some_fake_ANY_title_23;Prince in Need;;;;;;;;;;;;;x
some_fake_ANY_23;ADVERTISMENT: I am a shobgizobi Prince. I need help returning to my homeland and need monies as soon as possible. I will remember my benefactors kindly, and return payments in full or more.;;;;;;;;;;;;;x
some_fake_ANY_title_24;Local Adventurer Dejected;;;;;;;;;;;;;x
some_fake_ANY_24;A Dashing soldier of fortune has been hanging around drinking establishments moping that the government wouldn't send him to Bafozh. He says "the foriegn minister even called me a 'damn fool'".;;;;;;;;;;;;;x
some_fake_ANY_title_25;Ruffians Everywhere!;;;;;;;;;;;;;x
some_fake_ANY_25;There seem to be rising incidents related to ruffianianism and brigandage on the roads of our land. A prominent author says this is entirely due to insidious Free Yoker ideas.;;;;;;;;;;;;;x
some_fake_ANY_title_26;Man Taken By Poumnians;;;;;;;;;;;;;x
some_fake_ANY_26;A local man who was severely in debt to Poumnian creditors has by all accounts by dragged away to Poumnia. The saying goes "A coin from a Poumnian costs more than it's worth".;;;;;;;;;;;;;x
some_fake_ANY_title_27;WORM CREAM;;;;;;;;;;;;;x
some_fake_ANY_27;Attention: Worm Cream is now avaliable for sale in $OURCAPITAL$ for very cheap! This cream made is from the finest Bafozhi worms dug out of the Worm Tree, and will cure many ailments.;;;;;;;;;;;;;x
some_fake_ANY_title_x;x;;;;;;;;;;;;;x
some_fake_ANY_x;x;;;;;;;;;;;;;x
some_fake_ANY_title_x;x;;;;;;;;;;;;;x
some_fake_ANY_x;x;;;;;;;;;;;;;x
some_fake_ANY_title_x;x;;;;;;;;;;;;;x
some_fake_ANY_x;x;;;;;;;;;;;;;x
some_fake_ANY_title_x;x;;;;;;;;;;;;;x
some_fake_ANY_x;x;;;;;;;;;;;;;x
some_fake_ANY_title_x;x;;;;;;;;;;;;;x
some_fake_ANY_x;x;;;;;;;;;;;;;x
some_fake_ANY_title_x;x;;;;;;;;;;;;;x
some_fake_ANY_x;x;;;;;;;;;;;;;x
some_fake_ANY_title_x;x;;;;;;;;;;;;;x
some_fake_ANY_x;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
X;x;;;;;;;;;;;;;x
