Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
clericalism_vs._anticlericalism_desc;The staggering pluralism of the modern world emerged as a challenge for the modern government. Atheists, secularists, sectarian zealots, mystics, practitioners of foreign cults, and the great masses of heathen believers in the imperialised periphery presented a great babble of disagreement, and were easily stirred to conflict and hatred of one government or the other. A rationalized system of approved cults and faiths, and the vigorous suppression of those deemed socially unhygienic, based explicitly on expectation of social coherency and public order, broadly emerged as the states of Ishahfazh grappled both with unorthodox at home and heathen subjects in the colonies. In the early stations and factories established by the Gaubjan government in the Juuruntine territories, we learn directly of the various permits and writs needed for traditional J’ur meeting places to be maintained, and there a few interesting records of the various considerations Gaubjan bureaucrats enquired and worried about during these hearings.;;;;;;;;;;;;;x
jazhakdii;Jazhakdii;;;;;;;;;;;;;x
plantations;Plantations;;;;;;;;;;;;;x
new_world_plantations_title;Plantations in the Great East;;;;;;;;;;;;;x
new_world_plantations_desc;The vast continents to the east are largely underpopulated and undercultivated. Agriculture, if done at all, is clumsy, ad-hoc, and on very small scales. A unique oppertunity is presented to our colonial government to appartition great swathes of land to planters and settlers to encourage the development of large plantations that could hopefully produce crops more efficiently than farms and estates in the metropole.;;;;;;;;;;;;;x
paknag_bandits;Banditry;;;;;;;;;;;;;x
ended_bandits;Banditry Suppressed;;;;;;;;;;;;;x
precious_goods;Trade Goods;;;;;;;;;;;;;x
treaty_port;Treaty Port;;;;;;;;;;;;;x
factory_port;Factory Port;;;;;;;;;;;;;x
treaty_port_casus_belli;Punitive Expedition;;;;;;;;;;;;;x
treaty_port_casus_belli_short;Compensiation from $RECIPIENT$;;;;;;;;;;;;;x
treaty_port_casus_belli_setup;Demand reparations and port concessions from $RECIPIENT$.;;;;;;;;;;;;;x
treaty_port_casus_belli_desc;Seize a treaty port from a large and prosperous §Yuncivilized country§W, as well as extract reparations from them.;;;;;;;;;;;;;x
PUNITIVE_EXPEDITION_WAR_NAME;Punitive Expedition;;;;;;;;;;;;;x
negotiating_treaty;Negotiating Unequal Treaty;;;;;;;;;;;;;x
negotiating_unequal_treaty;Negotiating Unequal Treaty;;;;;;;;;;;;;x
thriving_trade;Thriving Trade;;;;;;;;;;;;;x
yoker_agitation;Free-Yoker Agitation;;;;;;;;;;;;;x
regional_revolt;Regional Revolt;;;;;;;;;;;;;x
DIPLOMACY_ALMOST_WESTERN_NATION_STATUS;Partially Modernized Nation;;;;;;;;;;;;;x
UNCIV_CANT_RESEARCH;Modernize to be able to research;;;;;;;;;;;;;x
MILITARY_REFORM_COST_DESC;Cost modifier for political reforms:;;;;;;;;;;;;;x
SET_MILITARY_REFORM_EFFECT;Political reform selected: §Y$NAME$§W.\n;;;;;;;;;;;;;x
NO_CIV_PROGRESS;We have made no progress towards modernization. We need to enact political or economic reforms;;;;;;;;;;;;;x
MODIFIER_UNCIV_MILITARY;Political reform cost;;;;;;;;;;;;;x
MODIFIER_SELF_UNCIV_MILITARY;Political reform cost;;;;;;;;;;;;;x
CIVILIZE_NO_MASTER_DESC;Fully embrace modern ideas. This will gives us access to the technological advances from around the world;;;;;;;;;;;;;x
CIVILIZE_DESC;Fully embrace modern ideas. This will give us access to the technological advances of our sphere leader;;;;;;;;;;;;;x
demand_concession_casus_belli_event;Demand Concession;Demande de concession;Zugeständnisse verlangen;;Exigir concesión;;;;;;;;;x;;
demand_concession_casus_belli_event_desc;Force an §Yuncivilized country§W to secede territory to form a colonial concession.;Obligez un §Ypays non civilisé§W ?faire sécession d'un territoire pour former une concession coloniale.;Zwingen Sie ein §Yunzivilisiertes Land§W, Gebiete zur Gründung einer Kolonie abzuspalten.;;Obliga a un §Ypaís incivilizado§W a escindir territorio para formar una concesión colonial.;;;;;;;;;x;;
demand_concession_casus_belli_event_setup;Demand that $RECIPIENT$ secede territory to form a colonial concession.;Demandez ?ce que $RECIPIENT$ fasse sécession d'un territoire pour former une concession coloniale.;Verlangen Sie, dass $RECIPIENT$ Gebiete zur Gründung einer Kolonie abspaltet.;;Exigir que $RECIPIENT$ escinda territorio para formar una concesión colonial.;;;;;;;;;x;;
demand_concession_casus_belli_event_short;Demand $STATE$;Demande $STATE$;Fordern Sie $STATE$;;Exigir $STATE$;;;;;;;;;x;;
closed_drupe;Closed Drupe;;;;;;;;;;;;;x
open_drupe;Open Drupe;;;;;;;;;;;;;x
right_to_the_familiar;Right To The Familiar;;;;;;;;;;;;;x
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME;$ORDER$ Punitive Expedition to $SECOND_COUNTRY$;;;;;;;;;;;;;x
national_confusion_desc;This country has been thrown into national confusion!;;;;;;;;;;;;;x
political_outrage_desc;This country is expiriencing widespread political outrage.;;;;;;;;;;;;;x
international_sanctions_desc;There are currently international sanctions upon this country.;;;;;;;;;;;;;x
yoker_agitation_desc;This country is undergoing free-yoker agitaiton.;;;;;;;;;;;;;x
negotiating_unequal_treaty_desc;This country is currently negotating a treaty concession.;;;;;;;;;;;;;x
negotiating_treaty_desc;This country is currently negotating a treaty concession.;;;;;;;;;;;;;x
developing_economy_desc;This economy is beginning to see the features of an industrial society.;;;;;;;;;;;;;x
industrialising_economy_desc;This economy is rapidly industrialising!;;;;;;;;;;;;;x
industrial_economy_desc;This country meets much of Talcott Parsons' criteria for an industrial society.;;;;;;;;;;;;;x
right_to_the_familiar_desc;This Tehurite Country respects the doctrine of the Right to the Familiar.;;;;;;;;;;;;;x
industrialising_economy;Industrialising Economy;;;;;;;;;;;;;x
industrial_economy;Industrial Economy;;;;;;;;;;;;;x
developing_economy;Developing Economy;;;;;;;;;;;;;x
January;Midwinter;;;;;;;;;;;;;x
February;Winter's End;;;;;;;;;;;;;x
March;Springtime;;;;;;;;;;;;;x
April;Drytime;;;;;;;;;;;;;x
May;Sweltertime;;;;;;;;;;;;;x
June;Midyear;;;;;;;;;;;;;x
July;First Rain;;;;;;;;;;;;;x
August;High Monsoon;;;;;;;;;;;;;x
September;Late Monsoon;;;;;;;;;;;;;x
October;Harvesttime;;;;;;;;;;;;;x
November;Winnowtime;;;;;;;;;;;;;x
December;Early Winter;;;;;;;;;;;;;x
demand_concession_casus_belli_1342;Demand Concession;Demande de concession;Zugeständnisse verlangen;;Exigir concesión;;;;;;;;;x;;
demand_concession_casus_belli_1342_desc;Force an §Yuncivilized country§W to secede territory to form a colonial concession.;Obligez un §Ypays non civilisé§W ?faire sécession d'un territoire pour former une concession coloniale.;Zwingen Sie ein §Yunzivilisiertes Land§W, Gebiete zur Gründung einer Kolonie abzuspalten.;;Obliga a un §Ypaís incivilizado§W a escindir territorio para formar una concesión colonial.;;;;;;;;;x;;
demand_concession_casus_belli_1342_setup;Demand that $RECIPIENT$ secede territory to form a colonial concession.;Demandez ?ce que $RECIPIENT$ fasse sécession d'un territoire pour former une concession coloniale.;Verlangen Sie, dass $RECIPIENT$ Gebiete zur Gründung einer Kolonie abspaltet.;;Exigir que $RECIPIENT$ escinda territorio para formar una concesión colonial.;;;;;;;;;x;;
demand_concession_casus_belli_1342_short;Demand $STATE$;Demande $STATE$;Fordern Sie $STATE$;;Exigir $STATE$;;;;;;;;;x;;
establish_protectorate_casus_belli_1342;Establish Protectorate;;;;;;;;;;;;;x
establish_protectorate_casus_belli_1342_short;Annex $RECIPIENT$;;;;;;;;;;;;;x
establish_protectorate_casus_belli_1342_setup;Annex $RECIPIENT$ by establishing a protectorate over them.;;;;;;;;;;;;;x
establish_protectorate_casus_belli_1342_desc;Annex a single-state §Yuncivilized country§W by forcing them to become a protectorate of ours.;;;;;;;;;;;;;x
locust_plague;Locust Devastation;;;;;;;;;;;;;x
locust_threat;Locust Threat;;;;;;;;;;;;;x
if;If the following is true;;;;;;;;;;;;;x
TRIGMOD_HEADER;The cabinet reports that;;;;;;;;;;;;;x
TRIGMODLOST_HEADER;The cabinet reports that;;;;;;;;;;;;;x
brownnoser;Lackey;L?he-cul;Stiefellecker;;Obsequioso;;;;;;;;;x;;;;
for2;For any;;;;;;;;;;;;;x
if2;§GIf we have the knowledge§!;x
if3;§RIf we do not have the knowledge§!;x
for15;For any;;;;;;;;;;;;;x
bondsman_rebels_name;Bondsman Rebels;;;;;;;;;;;;;x
bondsman_rebels_desc;Bondsman rebels are a rag-tag collection of the various wretched bonded folk - the slaves, thralls, serfs, prisoners, hereditary servants, who have come together to seek their collective liberty, and establish a free state.;;;;;;;;;;;;;x
bondsman_rebels_title;Bondsman;;;;;;;;;;;;;x
bondsman_rebels_army;Liberated Brigade;;;;;;;;;;;;;x
HAS_GOODS;has goods;;;;;;;;;;;;;x
FE_BASIC;The Setting (1);x
FE_MEDIUM;The Setting (2);x
FE_ADVANCED;Major Nations;x
FE_SETTING_BODY_1;Gozomedes' Great Game (GGG) is a Victoria II mod set in a fictional world populated by alternate hominids, largely based on the Australopithecus. The world of GGG (the Miiv) lies on a planetary sphere that is roughly the same size as earth, and spins also with a tilted axis. It is dominated by three major continents: Ishahfazh, Kovazh, and Bafozh, which are accompanied by three sub-continental shelves: Paukzhodo, Shobgizob, and Gofakidzia. The world itself is a watery world, dominated by vast and deep oceans, and the major continents lie close together, lining the few easily navigable seas. Beyond this area of calm, the vast oceanic geography cultivates the development of massive, nigh continuous storms, especially in the vast empty ocean of the north of the planet.\nThe concurrent presence of multiple intelligent and significantly genetically different species has led to a number of notable differences between the world of GGG and our own. Above all, the world lacks any sort of enlightenment universalism, and people persist in a number of practices that would seem savage in our own world, above all the keeping of other hominids as ‘thralls’ or cattle-slaves for eating and working. Beyond this, transcultural hostility remains higher, the world largely more violent, and diplomatic practices bereft of any notions of international law, balances of power, common heritage, etc. There are a variety of notable species: Ishahfazh is mainly populated by the stout and hairy folk who make up most of the large empires (Gashdzii, Poumnian, Sithevan), but the Byotrin (Ghech, Anuvo, Shagmodt) people are tall, hairless, flat faced, white skinned giants living the central regions, and the Oujoy and Unnahu are large eyed and thin. The peoples of the east and centre of Kovazh (the Qooxib, Ourrhond) are decidedly smaller, and have features more similar to those of the capuchin or macaque monkeys of our world. In the wilds of Bafozh one finds strange beast men, hominidae with blue faces, and all sorts in between.;x
FE_SETTING_BODY_2;In southern Ishahfazh has risen a dynamic, now industrial collection of civilisations, the foremost among these being the Old Gashdzii Empire and its successor states, the ancient theocratic Poumnian Empire, and the fractious Sithevan peoples of the west around the state of Athis or Veyethu. It is worth surveying the history of these civilisations. Poumnia, through its various dynasties and dynastic cycles, is ruled by the eternal Pudwou, the God-Emperor and his noble retainer and governors. It has remained for the past millennia a relatively cohesive state. It lies in the Poudwouvas river delta ecosystem in the southern lands of Ishahfazh, notable for growing the euphoria inducing Pruub flower and the rivergrain that has fed the Poumnian civilization. Most of the people of Poumnia live on the rivers, cultivating grain and living in mud or stilt houses. The Poumnian civilisation is part of a larger continuum of the Diwvish languages and peoples, who also include the seafaring rugged Pruunts of the southern peninsula, and the jungle dwelling Roshupt and Towuzhians, most of whom remain nominal or actual vassals of the Poumnian empire to this day. Out of wars and political conflicts in Poumnian antiquity, which was fraught with many warring noble houses all claiming some degree of divinity or divine tutelage emerged the Vopudwou, or the Pudwou, the divine emperor, who subdued and pacified other nobles, extending his divine grace to these ‘lesser deities’. The Poumnian state developed a proud military, and a highly authoritarian, stratified tradition of governance, for many years maintaining a powerful grasp on its own lands and its environs.;x
FE_SETTING_BODY_3;The Gashdzii empire emerged around 1200 years ago, out of a small number of plateau dwelling folk in the central savannah of Ishahfazh. At this time much of the Savannah was inhabited by the ancestors of the Byotrin, peoples speaking relatives of Proto-Gashdziik, and peoples speaking now-dead languages perhaps related to the Pagyuti of the southern peninsula. The massive Gashdzii empire, founded by Godhiinimiz I (r. 102-149 i.r.) became a force for the settlement, colonisation, and assimilation of massive swathes of central Ishahfazh, only running up against the might of the Poumnians in the south, and inhospitable deserts and dense jungles in the north and east respectively. The majority of the Gashdzii practice Kadkohi, the idolatrous faith lauding the four high spirits that rule the world. For nearly 800 years the empire centred around Pashdzii, the Imperial city, remained powerful and influential, until a number of political and economic circumstances precipitated the slow disentanglement of the empire. The imperial successor states continued to pay lip service to the empire, but began engaging increasingly in their own endeavours. Particularly on the southern coasts, the Jiishanagi and the Gaubjans, along with a reinvigorated Poumnia, engaged in the exploration and exploitation of the southern and eastern continents, settling, colonising, warring and trading, eventually shifting the apex of the world market to the circle sea on which lies Nozho of Jiishanag and the many ports of the Poumnians.;x
FE_SETTING_BODY_4;A gradual concentration of markets and wealth facilitated increasing scientific and engineering knowledge as merchants scrambled to create weaponry and textiles to export to the hinter and hither continents. Burgeoning populations, more powerful weaponry, and more taxes as a result of flourishing trade and industry facilitated the creation of more centralised states. Gradually, an industrial and modern society was emerging on the southern shores of the circle sea. Meanwhile, the old lands of the Gashdzii empire experienced dramatic political and religious changes. The old iron grip of the deity-focused synods was challenged by the anti-magisterial movement, which challenged clerical authority. The preachings of Kauzhut ‘Mifachâzhafta’ ‘the great diviner’, and Kauzhut ‘Donavvat’ ‘the describer’ founded the jurico-ethical heretical Motkhonic faith which spread across the south. The anti-magisterial movement precipitated a large-scale series of uprisings and instability, crystallizing into the ‘liberationist’ movement which came to challenge not only clerical but also aristocratic power. As we come to the modern age, the ancient Sithevan monarchy of the house of Athis was shattered by the revolutionary liberationist movement of the Sublime Veyethu, now the foremost revolutionary state. The Poumnians must grapple with consolidating regional power in a changing world, and the various Gashdzii look to reconstruct the old empire or develop new and modern political configurations. In the far reaches of the north, the Sedentarian, or Tehuhrite monarchies, always lagging a bit behind the south, must be gradually awakening and modernising.\n\nAt game start, the international political sphere remains dynamic and unstable: lands are opening up for colonization, political leaders seek to restore fallen empires, and ancient kingdoms seek to keep a stranglehold on power. ;x
FE_TUTORIAL;GGG Lore;x
FE_JII;Jiishanâg;x
FE_POU;Poumnia;x
FE_VOK;Vokonazh;x
FE_VUG;Sublime Veyethu;x
FE_VAF;Vâfaut;x
FE_GAU;Gaubja;x
FE_RAN;Rannu Empire;x
FE_BOG;Bogorug;x
FE_MAM;Mamatoukat;x
trade_policy;Foreign Trade;;;;;;;;;;;;;x
protectionism;Discouraged;;;;;;;;;;;;;x
protectionism_desc;The government has erected a number of barriers and notable exclusions to foreign commerce.;;;;;;;;;;;;;x
free_trade;Tolerated;;;;;;;;;;;;;x
free_trade_desc;Foreign traders and capitalist are largely suffered here in their projects and trades.;;;;;;;;;;;;;x
economic_policy;Industrial Policy;;;;;;;;;;;;;x
laissez_faire;Agrarianism;;;;;;;;;;;;;x
laissez_faire_desc;The government attempts to forbid the development or expansion of industrial enterprise;;;;;;;;;;;;;x
FE_JIISHANAG;Jiishanâg is a large aristocratic commonwealth on the southern coast of Ishahfazh. They are motkohnic in faith, and one of the foremost industrial powers. They have a number of outlying colonial possessions and may form The Great Nag.;x
FE_POUMNIA;Poumnia is the great dynastic theocratic empire that lies on the southern deltas of Ishahfazh. They are a highly unequal society, with massive numbers of bonded people, and while backwards, they excel in arms. They have a number of focused expansion routes.;x
FE_VOKONAZH;Vokonazh, a large nation lying in the east of Ishahfazh, is the seat of Great Lord Gozomedes. It has a strong army and is in a position to unite the now shattered Kiidnazh, the old Gashdzii Empire.;x
FE_VEYETHU;Sublime Veyethu is the liberationist rump state that lies on the west of Ishahfazh, lying in the center of the old Athisard lands. These revolutionaries seek to export the liberationist rebellion to their hostile neighbours.;x
FE_VAFAUT;Vâfaut is a large plantation society on the mountain range diving the Poumnian lands from the old Gashdzii empire. They are in a position to form a defensive compact of the west Gashdzii people.;x
FE_GAUBJA;Gaubja is an industrialised kingdom lying on the temperate eastern shores of Ishahfazh. They have a number of colonial territories, a noble army, and are in a position to form The Great Nag.;x
FE_RANNU;Rannu Empire is the rambling, lethargic Unnahu empire of the north. With many subject peoples, they face a decisive moment in consolidating their empire, or succumbing to rebellion and partition.;x
FE_BOGORUG;Bogorug is an aristocratic commonwealth in the north of Ishahfazh. The embattled ruling minority of Bogoran nomad-descended conquerers rules with tenuous grasp over the Oujoy peasantry, leaning on Rannu support.;x
FE_MAMATOUKAT;Mamatoukat is a powerful Oujoy kingdom in the northwest of Ishahfazh. They are seen as the natural protectors of the sedentarian faith, and have a number of expension routes to establish regional influence.;x
jingoism;Expansionism;;;;;;;;;;;;;x
WORLD_YEAR;Miiv: $YEAR$ I.R.;x
Friday;Festday;x
Monday;Week's Dawn;x
Saturday;Prayerday;x
Sunday;Week's Dusk;x
Thursday;Feasting Day;x
Tuesday;Fasting Day;x
Wednesday;Midweek;x
encylopedia_updated;§GYour Encylopedia has been updated!§!§b;;;;;;;;;;;;;x
kusii_info;§GKusii pops will now be more likely to convert!§! \n;;;;;;;;;;;;;x
gashdzii;Gashdzii;;;;;;;;;;;;;x
colonial_gashdzii;Colonial Gashdzii;;;;;;;;;;;;;x
byotrish;Byotrish;;;;;;;;;;;;;x
vuyti;Vuyti;;;;;;;;;;;;;x
imperial_restit;Imperial Restitution;;;;;;;;;;;;;x
imperial_restit_short;$THIRD$ acquires $STATE$ and punish $RECIPIENT$;;;;;;;;;;;;;x
imperial_restit_setup;Restore Imperial government in $STATE$ and chastize $RECIPIENT$;;;;;;;;;;;;;x
imperial_restit_desc;Restore Imperial Government to §YPashdzii§W and punish its occupiers;;;;;;;;;;;;;;x
imperial_malcontents;Imperial Malcontents;;;;;;;;;;;;;x
imperial_malcontents_desc;The old Imperial elite in Pashdzii are slow to adjust to the new 'illigitimate' government.;;;;;;;;;;;;;x
gashdzii_resistance;Gashdzii Resistance;;;;;;;;;;;;;x
gashdzii_resistance;The Gashdzii are not quick to let their imperial capital fall to the hands of foriegners!;;;;;;;;;;;;;x
null_warning;§RIf there is a player on Veyethu/Vugioroo, this has no effect!§!§b;;;;;;;;;;;;;x
an_refugee;Anuvo Refugees;;;;;;;;;;;;;x
an_deported;Anuvos Deported;;;;;;;;;;;;;x
an_violence;Anuvos Attacked;;;;;;;;;;;;;x
backwards_customs;Backwards Customs;;;;;;;;;;;;;x
backwards_customs_desc;The Poumnian state chose to keep internal customs. Unlike their more progressive neighbours, they stand out for their curious tax regime.;;;;;;;;;;;;;x
gap_toothing_resolved;Gap Toothing Resolved;;;;;;;;;;;;;x
gap_toothing_resolved;The struggle over the gap toothing debate as strengthened the grip of the central government on the land.;;;;;;;;;;;;;x
exploitation_1;Exploitation;;;;;;;;;;;;;x
four_year_draft_1;Four Year Draft;;;;;;;;;;;;;x
two_year_draft_1;Two Year Draft;;;;;;;;;;;;;x
one_year_draft_1;One Year Draft;;;;;;;;;;;;;x
self_rule_1;Self Rule;;;;;;;;;;;;;x
settlement_1;Settlement;;;;;;;;;;;;;x
statist_strike;Statist Obstruction;;;;;;;;;;;;;x
smallholder_society;Smallholder Society;;;;;;;;;;;;;x
smallholder_society_desc;This is a society of smallholders - moderately sized farms owned by largely by families, not firms or capitalists.;;;;;;;;;;;;;x
smallholder_society_1;Smallholder Society;;;;;;;;;;;;;x
